ID,ASK1_IC50_nM
TEST_000,4662.8823
TEST_001,4541.331
TEST_002,3719.8152
TEST_003,4346.8726
TEST_004,56.51657
TEST_005,71.00857
TEST_006,47.003025
TEST_007,27.293365
TEST_008,2062.9985
TEST_009,11901.156
TEST_010,393.69986
TEST_011,1047.9268
TEST_012,348.92206
TEST_013,561.80566
TEST_014,225.01945
TEST_015,129.40665
TEST_016,415.18558
TEST_017,257.4753
TEST_018,48.85393
TEST_019,86.84008
TEST_020,704.516
TEST_021,74.0965
TEST_022,97.20499
TEST_023,119.71494
TEST_024,62.828094
TEST_025,3190.6213
TEST_026,769.9249
TEST_027,1205.0977
TEST_028,971.32117
TEST_029,341.43912
TEST_030,5847.929
TEST_031,119.08869
TEST_032,56.056473
TEST_033,845.9437
TEST_034,147.98492
TEST_035,535.6197
TEST_036,2941.1929
TEST_037,51.198376
TEST_038,76.1251
TEST_039,114.23278
TEST_040,9.972151
TEST_041,795.58264
TEST_042,9359.752
TEST_043,849.143
TEST_044,1851.7869
TEST_045,1863.1321
TEST_046,59.138996
TEST_047,70.131935
TEST_048,6065.325
TEST_049,27.711672
TEST_050,11.758194
TEST_051,99.434616
TEST_052,17.718887
TEST_053,93.96223
TEST_054,19.887716
TEST_055,116.99729
TEST_056,80.82594
TEST_057,2.0282135
TEST_058,10.417149
TEST_059,9.965736
TEST_060,1.2642955
TEST_061,91.10161
TEST_062,462.35257
TEST_063,4.533236
TEST_064,94.6295
TEST_065,4.904618
TEST_066,6.921321
TEST_067,50.711864
TEST_068,873.25604
TEST_069,2246.684
TEST_070,6.815235
TEST_071,178.52281
TEST_072,8.1669655
TEST_073,356.68607
TEST_074,12.138622
TEST_075,6.785295
TEST_076,13.632586
TEST_077,20475.363
TEST_078,5817.663
TEST_079,22029.795
TEST_080,150.53552
TEST_081,2.0088744
TEST_082,7.0904794
TEST_083,10.519857
TEST_084,8.700108
TEST_085,867.80225
TEST_086,22.826155
TEST_087,35.978508
TEST_088,42.20249
TEST_089,7.9714427
TEST_090,161.82492
TEST_091,12.259368
TEST_092,10.922414
TEST_093,470.24963
TEST_094,12.350413
TEST_095,1880.6489
TEST_096,9.561015
TEST_097,257.8626
TEST_098,7.2551794
TEST_099,21.194044
TEST_100,9.792215
TEST_101,7.695404
TEST_102,4.7330627
TEST_103,1626.0021
TEST_104,53.185806
TEST_105,42.880783
TEST_106,1976.9653
TEST_107,910.3822
TEST_108,14.334705
TEST_109,10.71107
TEST_110,37.474197
TEST_111,22.753565
TEST_112,23.406044
TEST_113,284.17984
TEST_114,4.873173
TEST_115,94.070305
TEST_116,317.0204
TEST_117,1055.3662
TEST_118,13.91318
TEST_119,197.24968
TEST_120,77.78013
TEST_121,101.7441
TEST_122,9.712721
TEST_123,3.9620802
TEST_124,122.97317
TEST_125,11.783124
TEST_126,4403.7837
