ID,ASK1_IC50_nM
TEST_000,19.228802
TEST_001,13.998329
TEST_002,13.671708
TEST_003,1205.9288
TEST_004,37.19431
TEST_005,53.082138
TEST_006,53.174244
TEST_007,31.986746
TEST_008,1918.3127
TEST_009,291.84244
TEST_010,159.71695
TEST_011,376.51337
TEST_012,271.16534
TEST_013,86.21213
TEST_014,99.98134
TEST_015,70.58803
TEST_016,70.21476
TEST_017,40.952
TEST_018,302.50656
TEST_019,527.5514
TEST_020,471.1375
TEST_021,43.49255
TEST_022,54.892067
TEST_023,91.09781
TEST_024,35.923916
TEST_025,1851.7502
TEST_026,2.1213646
TEST_027,226.50995
TEST_028,58.46607
TEST_029,112.60509
TEST_030,272.23392
TEST_031,19.989733
TEST_032,26.441177
TEST_033,100.15174
TEST_034,74.73478
TEST_035,116.240555
TEST_036,186.624
TEST_037,49.628937
TEST_038,53.484577
TEST_039,53.210102
TEST_040,4.262547
TEST_041,1710.8352
TEST_042,3.9695523
TEST_043,102.519516
TEST_044,4.886235
TEST_045,70.12246
TEST_046,31.760744
TEST_047,14.165294
TEST_048,79.70655
TEST_049,12.703205
TEST_050,60.86232
TEST_051,25.824087
TEST_052,13.273176
TEST_053,7.763534
TEST_054,12.420664
TEST_055,0.84505254
TEST_056,0.482212
TEST_057,1.9751103
TEST_058,5.4717927
TEST_059,5.555331
TEST_060,2.3798976
TEST_061,17.712585
TEST_062,10.17231
TEST_063,4.767988
TEST_064,15.154447
TEST_065,5.536139
TEST_066,3.3778827
TEST_067,11.03489
TEST_068,1.7344984
TEST_069,1.9687622
TEST_070,3.8245015
TEST_071,37.14599
TEST_072,8.435285
TEST_073,1.2233833
TEST_074,2.3586912
TEST_075,10.728807
TEST_076,7.2061644
TEST_077,3.5114267
TEST_078,4.16239
TEST_079,4.208944
TEST_080,815.11456
TEST_081,5.186043
TEST_082,2.9104981
TEST_083,8.621695
TEST_084,2.5465457
TEST_085,48.36272
TEST_086,22.658407
TEST_087,27.44512
TEST_088,29.251324
TEST_089,3.4847717
TEST_090,41.055996
TEST_091,5.149729
TEST_092,7.4127097
TEST_093,38.4743
TEST_094,2.8507798
TEST_095,67.98837
TEST_096,7.9506397
TEST_097,38.849037
TEST_098,2.5491977
TEST_099,14.505443
TEST_100,3.6401722
TEST_101,6.751467
TEST_102,5.0851254
TEST_103,120.94136
TEST_104,11.083411
TEST_105,8.473231
TEST_106,12.240995
TEST_107,7.347626
TEST_108,3.9787505
TEST_109,16.158487
TEST_110,35.707047
TEST_111,33.750687
TEST_112,33.270218
TEST_113,113.18905
TEST_114,2.4636264
TEST_115,14.443145
TEST_116,113.67751
TEST_117,155.92967
TEST_118,9.253432
TEST_119,76.03447
TEST_120,36.601948
TEST_121,12.157616
TEST_122,18.276068
TEST_123,3.2363079
TEST_124,133.90173
TEST_125,3.3614411
TEST_126,49.786938
