ID,ASK1_IC50_nM
TEST_000,144.29973
TEST_001,112.026855
TEST_002,112.25291
TEST_003,275.90445
TEST_004,101.50265
TEST_005,123.980194
TEST_006,93.26914
TEST_007,48.129486
TEST_008,183.92966
TEST_009,170.86726
TEST_010,167.57338
TEST_011,136.36777
TEST_012,116.21236
TEST_013,109.43108
TEST_014,226.52538
TEST_015,110.63958
TEST_016,102.97313
TEST_017,52.21742
TEST_018,127.59258
TEST_019,97.96958
TEST_020,234.33919
TEST_021,59.916103
TEST_022,91.48059
TEST_023,119.92123
TEST_024,84.77494
TEST_025,121.771736
TEST_026,121.39982
TEST_027,140.19955
TEST_028,78.46314
TEST_029,217.33783
TEST_030,117.45537
TEST_031,126.9785
TEST_032,79.480644
TEST_033,122.201805
TEST_034,270.24872
TEST_035,98.83868
TEST_036,126.37848
TEST_037,86.61593
TEST_038,151.63217
TEST_039,149.05531
TEST_040,100.42118
TEST_041,132.83295
TEST_042,125.9615
TEST_043,61.71815
TEST_044,97.072525
TEST_045,133.94968
TEST_046,112.44559
TEST_047,104.18177
TEST_048,137.01266
TEST_049,82.36123
TEST_050,108.33364
TEST_051,123.6857
TEST_052,417.55365
TEST_053,146.48734
TEST_054,103.45067
TEST_055,47.710625
TEST_056,31.177902
TEST_057,24.417921
TEST_058,122.683624
TEST_059,115.32235
TEST_060,55.688034
TEST_061,100.27817
TEST_062,134.28336
TEST_063,21.042727
TEST_064,26.779947
TEST_065,18.129015
TEST_066,67.19121
TEST_067,32.000973
TEST_068,126.32243
TEST_069,107.21906
TEST_070,114.724365
TEST_071,128.5832
TEST_072,23.978699
TEST_073,99.21389
TEST_074,121.9193
TEST_075,78.95331
TEST_076,34.939438
TEST_077,73.321205
TEST_078,51.97284
TEST_079,58.218422
TEST_080,87.63941
TEST_081,57.26758
TEST_082,50.745342
TEST_083,70.73932
TEST_084,116.93089
TEST_085,31.409412
TEST_086,144.30322
TEST_087,139.26399
TEST_088,118.31012
TEST_089,101.83943
TEST_090,102.49487
TEST_091,118.89533
TEST_092,52.858517
TEST_093,27.890697
TEST_094,105.81787
TEST_095,25.0211
TEST_096,57.618626
TEST_097,29.899483
TEST_098,109.531334
TEST_099,26.740664
TEST_100,35.251556
TEST_101,38.25484
TEST_102,41.56294
TEST_103,103.03115
TEST_104,146.55217
TEST_105,136.10286
TEST_106,136.01875
TEST_107,197.59996
TEST_108,133.39285
TEST_109,111.12033
TEST_110,61.319633
TEST_111,65.36952
TEST_112,88.52041
TEST_113,98.42792
TEST_114,87.45581
TEST_115,114.67148
TEST_116,29.49015
TEST_117,79.065216
TEST_118,59.602863
TEST_119,98.50338
TEST_120,126.65769
TEST_121,259.45242
TEST_122,134.38277
TEST_123,73.85908
TEST_124,112.32972
TEST_125,29.377298
TEST_126,95.805405
